city,date,fare,ride_id
West Anthony,43520.25991,39.2,8.49141E+12
West Heidi,43554.44867,22.41,1.71135E+12
Royland,43466.15752,7.57,5.81538E+12
South Latoya,43526.25436,10.35,3.38289E+11
Johnton,43473.73155,43.75,1.95319E+11
West Angela,43495.78243,32.31,7.28868E+12
Rodneyfort,43473.02054,29.4,1.18425E+12
Royland,43467.83955,10.19,6.68201E+11
New Paulville,43496.23094,20.8,1.09284E+12
Huntermouth,43564.84943,35.11,3.00561E+12
New Paulville,43495.6402,7.02,8.50496E+12
Justinberg,43588.11785,36.06,9.29542E+11
Port Angela,43555.64058,30.77,6.62264E+11
Port Angela,43564.60726,11.9,7.00981E+12
Christopherfurt,43470.93193,33.51,1.90103E+12
South Michelleport,43577.1358,43.62,4.66361E+12
Williamsstad,43509.83876,33.72,3.79671E+12
Lake Jonathanshire,43562.75649,24.28,7.79681E+12
Robertport,43544.79961,20.21,9.63092E+12
Port Angela,43504.68811,30.38,5.16554E+12
Barajasview,43504.75512,24.49,2.61217E+12
South Evanton,43489.29773,17.83,2.99666E+12
Lake Danielberg,43509.45971,43.96,1.00024E+11
Royland,43574.00384,25.4,9.84776E+12
Rodneyfort,43504.31602,30.02,2.49702E+12
East Kaylahaven,43482.4275,40.82,6.34249E+12
West Christopherberg,43482.60481,9.04,5.15485E+12
New Jacobville,43480.6444,27.24,3.81296E+12
Lake Jonathanshire,43467.59363,13.89,4.24255E+11
Port Samanthamouth,43580.4098,25.5,1.16913E+12
West Heidi,43550.40631,22.33,8.26311E+11
Karenside,43569.21617,13.13,3.65961E+12
Valentineton,43497.59135,9.68,2.1321E+12
Raymondhaven,43519.46765,4.24,2.94151E+11
Carriemouth,43535.89931,16.78,1.51939E+12
West Josephberg,43481.67853,7.04,2.50708E+12
Port Samanthamouth,43525.37375,43.25,1.38918E+12
Karenberg,43554.48517,24.64,4.53933E+12
New Paulton,43534.04713,28,1.06716E+12
Joneschester,43503.77525,6.34,2.60546E+12
North Jasmine,43504.79395,4.86,1.27663E+12
Valentineton,43523.02825,25.4,6.15236E+12
New Paulton,43516.70804,24.29,7.73813E+12
South Evanton,43583.34385,22.86,7.58536E+12
North Jasmine,43487.72598,31.68,7.12302E+11
West Anthony,43541.02123,35.42,4.56132E+12
Jerryton,43584.11738,41.27,9.02958E+11
Grahamburgh,43474.29176,13.55,5.4626E+12
South Jack,43554.8486,4.2,4.81767E+12
West Christopherberg,43488.89105,30.93,5.33568E+12
Lake Scottton,43550.03442,9.79,1.8279E+12
West Patrickchester,43479.05227,24.82,5.93494E+12
Royland,43482.58896,27.92,3.14727E+12
South Karenland,43510.58398,39.53,2.86164E+12
Erikaland,43551.54947,36.52,2.19595E+12
Rodneyfort,43544.44475,42.57,6.35495E+12
Williamsstad,43586.05997,26.81,4.54295E+12
Richardfort,43509.53203,14,9.1005E+11
West Ericstad,43490.52078,20.03,3.27648E+12
Grahamburgh,43529.23568,4.33,8.03729E+11
North Barbara,43589.10693,24.09,9.27509E+12
West Robert,43469.25741,35.35,9.55429E+12
Justinberg,43538.44875,36.32,6.77169E+12
South Michelleport,43527.67609,41.62,2.33978E+12
North Jasmine,43518.08075,25.33,1.31997E+12
Barajasview,43525.46274,28.25,7.22583E+12
Carriemouth,43559.55745,12.91,4.27669E+12
Amandaburgh,43520.96584,43.66,6.57382E+12
Johnton,43551.00708,18.89,3.63407E+12
Port Angela,43528.14351,40.35,4.93081E+12
Rodneyfort,43591.93192,27.16,3.7655E+12
Amandaburgh,43506.86303,36.17,6.45562E+12
North Madeline,43521.18905,13.58,4.93284E+12
West Angela,43525.46775,30.3,9.67353E+12
Joneschester,43468.23972,25.47,5.54018E+12
Joneschester,43468.04433,17.97,5.43931E+12
South Phillip,43494.47693,35.23,7.41823E+12
Liumouth,43554.13403,4.66,3.16444E+12
West Anthony,43475.10524,32.34,1.47932E+12
North Jason,43522.49843,13.88,2.49498E+12
North Jason,43545.4063,10.42,6.60154E+12
Carriemouth,43583.60319,11.46,6.99185E+12
Huntermouth,43589.63899,36.77,7.18662E+12
South Phillip,43573.25267,39.95,9.71902E+12
South Jack,43497.93897,28.37,3.37201E+12
Port Johnbury,43590.26863,25.3,2.54102E+12
South Phillip,43591.21234,43.43,2.4352E+12
North Jasmine,43565.48993,38.24,2.955E+12
South Michelleport,43492.81819,15.45,7.46526E+12
North Madeline,43562.3714,32.99,1.81935E+12
Christopherfurt,43520.12272,40.33,9.58419E+12
Williamsstad,43519.73796,4.68,9.10997E+12
Martinezhaven,43573.0699,34.7,2.02309E+12
Simpsonburgh,43558.36657,4.74,8.55633E+12
New Jacobville,43500.20657,27.63,4.32915E+12
South Karenland,43508.15441,5.78,8.89044E+12
Royland,43492.04256,24.56,9.65671E+12
Karenside,43487.54946,24.72,5.32673E+12
West Robert,43590.22137,10.15,9.39218E+12
Port Samanthamouth,43582.36708,12.84,5.65991E+12
West Samuelburgh,43531.07738,14.55,7.16036E+12
New Kimberlyborough,43553.85778,42.51,8.29694E+12
Port David,43551.49731,15.64,5.33848E+12
Karenside,43542.53343,36.96,7.60514E+12
New Paulton,43504.71648,39.65,8.50596E+12
West Ericstad,43473.37722,32.99,6.68834E+12
Port Johnbury,43545.09772,32.8,5.45093E+12
Port Samanthamouth,43551.02182,16.05,1.41228E+12
Port Frank,43473.99404,42.13,2.09916E+12
Lake Jonathanshire,43561.47954,16.84,6.16445E+12
West Angela,43501.78697,36.37,7.83243E+12
Port Samanthamouth,43551.04733,21.46,9.99154E+12
North Madeline,43528.72288,21.38,9.54449E+12
Williamsview,43480.00711,44.33,4.62703E+12
Grahamburgh,43517.28859,22.65,8.16396E+11
South Evanton,43530.16412,30.87,5.81192E+12
Loganberg,43551.56457,4.72,6.12069E+12
Carriemouth,43517.69374,44.18,4.52859E+12
Port David,43467.49412,7.45,6.14835E+12
West Heidi,43495.54147,30.84,8.93656E+12
Williamsstad,43529.10688,25.02,1.31321E+12
North Barbara,43500.34186,42.59,4.97125E+12
Lake Danielberg,43541.80797,10.18,4.7144E+12
North Markport,43568.31792,20.09,4.31121E+12
Port Angela,43587.17678,35.76,7.94596E+12
Port Samanthamouth,43539.63075,25.97,7.72596E+12
West Angela,43588.37781,24.07,7.80819E+12
Leahton,43517.85968,24.13,6.75967E+12
North Markport,43583.19093,40.46,2.56789E+12
Karenside,43533.15997,40.86,1.75754E+12
Jerryton,43472.50382,7.86,7.0733E+11
South Michelleport,43569.05594,37.93,1.53327E+12
Valentineton,43549.8652,22.53,2.33505E+12
East Kaylahaven,43564.7063,10.03,8.03681E+12
Erikaland,43568.51808,25.22,4.84717E+12
West Christopherberg,43473.35103,37.78,8.76706E+12
Pattyland,43497.94696,32.03,2.85024E+12
Deanville,43504.98166,21.22,4.78681E+12
West Christopherberg,43545.00975,43.87,5.08548E+12
Justinberg,43547.26966,30.58,3.5033E+12
Lake Danielberg,43520.81556,34.82,2.44227E+12
Port Samanthamouth,43495.0551,38.78,6.11983E+12
Lake Danielberg,43524.63063,44.96,6.31959E+12
Deanville,43570.06686,24.3,1.0653E+12
Pattyland,43511.63403,44.03,1.55666E+12
Karenside,43492.36949,7.65,4.7323E+11
Port Angela,43577.69657,7.91,6.76731E+12
West Angela,43569.77826,32.77,4.99573E+12
South Karenland,43550.25856,35.5,1.48239E+12
New Jacobville,43514.88156,39.97,8.0287E+12
Roberthaven,43538.67544,36.84,4.12341E+12
Lake Scottton,43579.49611,5.31,9.66834E+12
Amandaburgh,43476.09869,29.24,7.2799E+12
Reynoldsfurt,43590.7348,14.95,1.40473E+12
West Patrickchester,43505.24644,16.1,9.11233E+12
Christopherfurt,43568.35384,37.22,3.28805E+12
South Evanton,43582.0409,27.78,9.37758E+12
Lake Scottton,43503.21441,10.76,4.20125E+12
Roberthaven,43538.64218,35.27,4.03456E+12
Rodneyfort,43528.63412,28.69,2.75698E+11
West Josephberg,43513.26981,41.49,2.82133E+12
Lake Jonathanshire,43545.01289,37.95,8.35366E+12
Simpsonburgh,43501.66819,25.58,2.0387E+12
West Heidi,43543.13603,5.65,2.47479E+12
North Barbara,43547.87434,23.76,5.55027E+12
North Jasmine,43535.87733,37.93,4.22138E+12
West Gabriel,43584.05697,36.7,4.1035E+12
Liumouth,43569.28002,31.63,6.16629E+12
Carriemouth,43526.65307,28.04,5.13854E+12
West Robert,43548.64021,34.9,9.47233E+12
North Jasmine,43587.43387,29.86,3.19899E+12
Carriemouth,43545.65282,44.64,9.56084E+12
Lake Scottton,43511.2841,22.75,8.38204E+12
North Madeline,43567.58149,7.77,9.27334E+12
Lake Danielberg,43472.4041,17.39,4.35554E+12
North Madeline,43585.66825,37.48,2.50813E+12
Port David,43472.83564,20.49,5.84626E+12
Royland,43507.1574,30.41,7.2001E+12
West Samuelburgh,43516.04547,19.65,6.62379E+12
West Angela,43542.50615,34.05,5.33241E+12
West Patrickchester,43530.18054,32.37,3.68467E+12
Port Frank,43501.44038,20.1,4.44307E+12
New Kimberlyborough,43505.24197,39.55,6.01005E+12
Justinberg,43575.31758,29.07,2.09655E+11
West Angela,43573.50523,16.18,5.7701E+12
Justinberg,43534.38833,37.89,5.56313E+12
Valentineton,43475.72885,19.91,7.74511E+11
Williamsview,43562.02265,18.92,23948941587
South Jack,43496.11909,21.75,6.97116E+12
Port Frank,43514.78462,39.06,7.30185E+12
Leahton,43509.48679,16.79,4.74479E+12
South Michelleport,43518.32287,22.52,8.52274E+12
South Karenland,43580.61453,24.86,1.30771E+12
Richardfort,43512.578,17.92,8.20639E+11
Williamsstad,43571.96329,23.12,9.69458E+11
South Michelleport,43508.32043,27.7,5.58288E+12
West Patrickchester,43568.82573,33.33,1.83406E+12
Martinezhaven,43573.77586,5.81,2.12425E+12
North Jason,43488.95238,21.95,6.7018E+12
North Jason,43573.51333,22.42,4.92779E+12
Lake Scottton,43588.93963,9.01,1.28976E+12
West Christopherberg,43525.89804,11.97,6.42255E+12
North Markport,43565.92737,38.02,8.83453E+12
Christopherfurt,43564.0223,29.96,9.82584E+12
North Madeline,43494.6756,17.57,2.59646E+12
Richardfort,43497.84616,10.26,9.55494E+12
South Phillip,43490.21112,38.15,3.59916E+12
East Kaylahaven,43507.01688,43.19,8.67104E+12
Rodneyfort,43566.12359,36.3,9.04891E+12
Pattyland,43581.35513,19.99,8.82778E+12
South Karenland,43548.98414,41.44,6.04857E+11
Port David,43548.91557,28.84,5.26678E+12
Rodneyfort,43534.22488,29.13,4.63491E+12
New Paulton,43498.69257,17.19,8.50043E+12
Williamsstad,43536.06922,18.67,2.16183E+12
South Michelleport,43494.86176,9.79,5.52906E+12
West Christopherberg,43545.12339,21.41,7.7034E+12
Lake Scottton,43549.90718,36.92,7.04364E+12
Port Angela,43543.52279,17.21,1.69421E+12
Christopherfurt,43572.92557,32.39,6.53652E+11
Joneschester,43523.34692,33.34,2.38609E+12
Loganberg,43490.0831,26.03,9.12375E+12
South Phillip,43515.5553,33.07,8.51816E+12
Deanville,43488.54206,42.45,7.28621E+12
New Kimberlyborough,43495.90715,29.09,8.58712E+12
Port Johnbury,43566.43523,9.1,7.80475E+12
West Patrickchester,43574.14317,44.5,8.63832E+12
West Robert,43476.46539,5.16,1.59259E+12
New Paulton,43552.14986,14.94,3.70349E+12
South Latoya,43543.68012,31.72,3.63818E+11
Robertport,43514.62591,43.47,7.99569E+12
Valentineton,43484.81983,6.71,9.05271E+12
South Latoya,43483.8399,10.98,7.14419E+12
Simpsonburgh,43477.19153,24.83,3.15166E+12
West Patrickchester,43508.68979,22.64,4.55373E+12
Richardfort,43572.10182,23,7.20021E+11
Hurleymouth,43516.44985,17.07,7.0237E+12
Leahton,43492.34027,29.36,2.92181E+12
West Anthony,43584.0503,27.04,4.37535E+12
New Kimberlyborough,43470.3986,39.47,2.81269E+12
South Latoya,43543.9189,40.29,6.60213E+11
Williamsstad,43567.52116,17.57,7.09968E+12
South Karenland,43497.82302,31.64,9.37735E+12
North Jason,43571.64156,24.07,9.72612E+12
West Angela,43492.39971,9.24,2.62313E+12
Lake Danielberg,43504.2492,10.31,2.46453E+12
Port Samanthamouth,43561.57102,24.18,8.48462E+12
New Jacobville,43505.10102,37.51,5.69207E+12
New Kimberlyborough,43534.58006,10.83,1.55858E+12
New Kimberlyborough,43473.79124,13.34,6.26984E+11
Karenberg,43529.06867,44.1,9.22678E+12
South Phillip,43566.42351,21.06,4.8321E+12
Loganberg,43485.06535,38.66,7.23915E+12
Carriemouth,43586.20402,10.97,8.79211E+12
West Patrickchester,43486.61678,19.44,2.08837E+12
Martinezhaven,43503.90677,4.31,9.33333E+12
Karenside,43473.36766,22.64,2.41162E+12
North Jason,43548.31999,32.72,7.96029E+12
Lake Danielberg,43552.41448,28.53,9.80825E+12
Pattyland,43558.14574,14.06,5.39901E+12
Pattyland,43517.74574,7.06,5.80846E+12
Loganberg,43476.18542,44.34,1.37654E+12
Leahton,43524.54926,9.08,8.1975E+12
Reynoldsfurt,43482.8995,24.84,5.00018E+12
Raymondhaven,43518.99647,7.64,7.31172E+12
South Latoya,43508.95766,5.54,8.3976E+11
Lake Scottton,43483.106,31.92,5.70629E+12
Port David,43520.93094,35.63,3.35453E+12
Roberthaven,43560.58435,31.09,1.01622E+12
Rogerston,43548.12247,39.6,9.19619E+12
Karenberg,43582.62336,44.73,3.80072E+12
Martinezhaven,43569.68486,32.57,9.71302E+11
South Evanton,43485.96541,25.94,3.43171E+12
North Jasmine,43581.50556,35.33,6.85733E+12
Hurleymouth,43477.05529,10.64,8.1256E+12
West Robert,43531.66519,12.22,2.7056E+12
Deanville,43576.98056,33.37,7.76308E+12
South Michelleport,43474.07521,10.68,3.23691E+12
Royland,43498.53558,42.52,7.83542E+12
Rodneyfort,43565.985,25.4,9.06037E+12
North Madeline,43477.40435,20.82,8.11479E+12
Lake Danielberg,43583.16713,39.82,7.8891E+12
Port Johnbury,43587.53194,42.42,3.24538E+12
Richardfort,43576.1556,9.54,3.69815E+12
Liumouth,43546.17148,33.1,3.67856E+12
Roberthaven,43486.80959,23.14,4.93914E+12
Amandaburgh,43486.17563,9.26,5.52843E+12
South Evanton,43580.02619,26.84,1.53924E+12
Port Samanthamouth,43549.55597,34.94,8.21747E+11
South Michelleport,43537.18144,10.44,5.68486E+12
North Madeline,43479.15531,31.88,8.713E+12
Hurleymouth,43541.28486,29.95,5.22518E+12
Port David,43565.60251,26.68,5.36139E+12
Pattyland,43506.12205,24.39,7.26485E+12
Liumouth,43541.80674,19.05,9.11827E+12
Robertport,43558.056,15.14,6.66972E+12
Hurleymouth,43556.26852,9.94,4.06343E+12
West Samuelburgh,43572.47594,15.03,4.02153E+12
South Phillip,43542.17434,17.57,8.431E+12
West Josephberg,43494.09282,7.58,6.14297E+12
Roberthaven,43512.43319,14.95,6.65368E+12
West Christopherberg,43551.99823,21.55,2.20181E+12
Christopherfurt,43554.55273,31.3,7.45713E+12
Hurleymouth,43497.1415,22.39,6.07173E+12
Port Frank,43540.87089,30.24,1.45421E+12
Lake Danielberg,43481.49941,20.07,8.44861E+12
West Ericstad,43552.562,22.28,3.13527E+12
Karenside,43535.67936,44.29,3.26916E+12
South Evanton,43541.02161,36.31,2.78352E+12
West Heidi,43590.65801,37.75,3.64677E+12
Robertport,43524.95156,13.39,6.81044E+11
South Jack,43470.47988,13.14,6.80975E+12
West Josephberg,43524.76321,11.1,3.52953E+12
Port Frank,43550.7984,28.83,8.89805E+11
Barajasview,43515.10109,26.83,9.37248E+11
Justinberg,43468.95153,5.81,9.26116E+12
North Barbara,43572.11769,39.18,3.50329E+12
West Angela,43532.55841,4.92,5.44515E+12
South Latoya,43543.3294,30.03,9.56033E+12
Hurleymouth,43483.45797,4.66,8.62288E+12
Johnton,43560.30064,22.87,1.03062E+12
Carriemouth,43551.09148,38.69,4.40712E+12
Reynoldsfurt,43574.03926,13.63,7.99008E+12
Christopherfurt,43540.82391,19.61,2.29037E+12
Liumouth,43583.01846,5.42,8.02692E+12
New Kimberlyborough,43543.30405,15.78,6.41496E+12
Martinezhaven,43531.51826,23.55,7.38533E+12
East Kaylahaven,43561.6786,35.79,8.9306E+12
Simpsonburgh,43581.39678,33.71,2.59748E+12
Lake Jonathanshire,43493.00486,5.67,9.75657E+12
Robertport,43574.82343,39.57,3.97034E+12
South Karenland,43544.4409,33.24,3.09727E+12
Raymondhaven,43531.87438,17.66,9.25756E+12
Port David,43514.61609,20.16,1.84743E+12
Royland,43516.80196,38.28,3.61665E+12
East Kaylahaven,43494.31134,41.62,7.15722E+12
Valentineton,43519.49038,19.99,9.65841E+12
Martinezhaven,43536.41838,21.18,4.04681E+12
South Phillip,43515.86657,28.62,4.40803E+12
Royland,43589.12119,15.14,4.98829E+12
West Heidi,43501.8088,24.32,4.26277E+11
East Kaylahaven,43524.69888,33.72,1.22492E+12
New Kimberlyborough,43558.6859,14.73,9.08311E+12
South Karenland,43475.99212,37.58,7.16597E+12
Richardfort,43499.01002,29.04,4.98267E+12
Justinberg,43534.21914,22.43,5.55274E+12
Huntermouth,43545.36426,32.42,3.39325E+12
Roberthaven,43546.18017,34.69,1.77299E+12
West Heidi,43535.67392,43.45,4.65488E+12
Raymondhaven,43513.08796,39.7,3.25174E+12
Karenside,43571.96764,39.32,3.15594E+12
Rogerston,43540.86795,43.82,4.71896E+12
Port Johnbury,43583.68699,36.42,2.73966E+11
West Josephberg,43483.53332,43.85,9.65466E+12
North Jasmine,43501.93655,19.21,6.78509E+12
Loganberg,43565.20825,35.97,8.82801E+12
Barajasview,43570.85922,17.76,8.09825E+12
New Paulton,43572.83711,44.43,3.38361E+11
West Angela,43484.0256,40.4,7.40626E+11
North Jasmine,43514.13193,31.49,9.75908E+12
North Barbara,43507.78565,43.26,8.9735E+12
Rogerston,43526.03784,25.14,1.72262E+12
Williamsstad,43517.45603,4.9,7.17645E+12
South Jack,43479.71293,40.65,5.44057E+12
West Anthony,43570.4603,43.82,4.3815E+12
Royland,43508.05419,44.33,5.32459E+12
West Angela,43558.6141,23.52,4.84305E+12
Liumouth,43518.16388,6.39,8.11653E+12
Amandaburgh,43574.68764,6.27,4.40063E+12
West Ericstad,43488.42589,10.12,8.03585E+12
South Jack,43480.24406,5.58,1.7939E+12
Barajasview,43587.87677,17.12,4.62892E+12
Amandaburgh,43544.31983,27.45,3.70101E+12
East Kaylahaven,43541.99584,8.62,1.95343E+12
Port Samanthamouth,43492.03987,28.46,8.8265E+11
New Paulville,43490.63872,15.04,7.52944E+12
West Anthony,43558.11308,10.56,3.76287E+12
Raymondhaven,43471.84403,21.19,9.47362E+12
Rogerston,43468.90647,36.28,7.09035E+12
Port David,43557.70404,41.14,2.69444E+12
North Markport,43504.91769,34.69,2.74219E+12
West Angela,43528.74348,20.72,1.78473E+12
South Michelleport,43576.77161,21.98,5.89381E+12
Port Frank,43506.34343,40.82,6.38624E+12
Rogerston,43510.2253,19.42,8.77069E+12
Joneschester,43557.20341,10.52,4.97037E+12
South Karenland,43541.05745,23.26,5.56551E+11
West Angela,43590.59571,23.66,9.18827E+12
Royland,43506.57688,11.24,4.94954E+12
Christopherfurt,43495.9234,6.32,4.28978E+12
Barajasview,43564.34073,39.36,1.80161E+12
Christopherfurt,43504.49045,25.76,9.51781E+11
Leahton,43478.00258,9.37,4.66966E+12
Port Angela,43570.95998,20.16,6.49009E+12
Loganberg,43478.99524,41.86,7.04561E+12
West Heidi,43520.19559,40.8,4.27425E+12
Robertport,43520.9178,8.48,2.89277E+12
Karenside,43538.71351,16.31,8.81835E+12
